Vp,gesch,age,herk,bildg,min,item,itemid,rat,typ
157,w,25,NRW,MR,64,auf den Beinen sein,NH14_04,2,meto
157,w,25,NRW,MR,64,kein Auge zutun,NH14_10,4,meto
157,w,25,NRW,MR,64,über alle Berge sein,NH14_16,1,meto
157,w,25,NRW,MR,64,sich aufs Ohr legen,NH14_21,2,meto
157,w,25,NRW,MR,64,in falsche Hände geraten,NH14_26,2,meto
157,w,25,NRW,MR,64,die Finger von etwas lassen,NH14_27,2,meto
157,w,25,NRW,MR,64,mit seinen Reizen spielen,NH14_28,2,meto
157,w,25,NRW,MR,64,jemandem knurrt der Magen,NH14_29,3,meto
157,w,25,NRW,MR,64,jemandem läuft ein Schauer über den Rücken,NH19_02,2,meto
157,w,25,NRW,MR,64,sich unters Messer legen,NH19_07,1,meto
157,w,25,NRW,MR,64,vor jemandes Nase stehen,NH19_08,2,meto
157,w,25,NRW,MR,64,keine Papiere haben,NH19_09,1,meto
157,w,25,NRW,MR,64,etwas nicht aus den Augen lassen,NH19_13,3,meto
157,w,25,NRW,MR,64,jemandem schlägt das Herz bis zum Hals,NH19_18,1,meto
157,w,25,NRW,MR,64,etwas aus eigener Tasche bezahlen,NH19_22,1,meto
157,w,25,NRW,MR,64,die Nase rümpfen,NH19_25,2,meto
157,w,25,NRW,MR,64,einen Luftsprung machen,NH19_27,2,meto
157,w,25,NRW,MR,64,keinen Finger krümmen,NH20_02,1,meto
157,w,25,NRW,MR,64,in den roten Zahlen sein,NH20_03,1,meto
157,w,25,NRW,MR,64,kein Wort über die Lippen bringen,NH20_04,2,meto
157,w,25,NRW,MR,64,das letzte Wort haben,NH20_08,1,meto
157,w,25,NRW,MR,64,eine böse Zunge haben,NH20_09,1,meto
157,w,25,NRW,MR,64,etwas unter vier Augen besprechen,NH20_14,4,meto
157,w,25,NRW,MR,64,sich nicht wohl in seiner Haut fühlen,NH20_20,2,meto
157,w,25,NRW,MR,64,große Augen machen,NH20_21,1,meto
158,m,32,NRW,Uni,94,mit leeren Händen kommen,NH14_01,1,meto
158,m,32,NRW,Uni,94,seine eigenen vier Wände haben,NH14_03,1,meto
158,m,32,NRW,Uni,94,auf den Beinen sein,NH14_04,1,meto
158,m,32,NRW,Uni,94,kein Auge zutun,NH14_10,1,meto
158,m,32,NRW,Uni,94,über alle Berge sein,NH14_16,1,meto
158,m,32,NRW,Uni,94,sich aufs Ohr legen,NH14_21,1,meto
158,m,32,NRW,Uni,94,in falsche Hände geraten,NH14_26,1,meto
158,m,32,NRW,Uni,94,die Finger von etwas lassen,NH14_27,1,meto
158,m,32,NRW,Uni,94,mit seinen Reizen spielen,NH14_28,3,meto
158,m,32,NRW,Uni,94,jemandem knurrt der Magen,NH14_29,1,meto
158,m,32,NRW,Uni,94,jemandem läuft ein Schauer über den Rücken,NH19_02,4,meto
158,m,32,NRW,Uni,94,sich unters Messer legen,NH19_07,2,meto
158,m,32,NRW,Uni,94,vor jemandes Nase stehen,NH19_08,3,meto
158,m,32,NRW,Uni,94,keine Papiere haben,NH19_09,1,meto
158,m,32,NRW,Uni,94,etwas nicht aus den Augen lassen,NH19_13,4,meto
